"","ROI","contrast","subject","PS"
"139","BA4ap","same mov scon no sub","sub05",0.17005
"140","BA4ap","same mov dcon no sub","sub05",0.16575
"141","BA4ap","share mov scon no sub","sub05",0.10765
"142","BA4ap","share mov dcon no sub","sub05",0.024454
"143","BA4ap","no share mov scon no sub","sub05",0.12031
"144","BA4ap","no share mov dcon no sub","sub05",0.12379
"145","HIPP_MERGE_BL","sseq scon no sub","sub06",0.069006
"146","HIPP_MERGE_BL","sseq dcon no sub","sub06",0.036284
"147","HIPP_MERGE_BL","dseq scon no sub","sub06",0.058007
"148","HIPP_MERGE_BL","dseq dcon no sub","sub06",0.048557
"149","HIPP_MERGE_BL","dstart send same context no sub","sub06",0.082213
"150","HIPP_MERGE_BL","dstart send diff context no sub","sub06",0.058054
"151","HIPP_MERGE_BL","sstart dend same context no sub","sub06",0.049707
"152","HIPP_MERGE_BL","sstart dend diff context no sub","sub06",0.056224
"153","HIPP_MERGE_BL","dstart dend same context no sub","sub06",0.053468
"154","HIPP_MERGE_BL","dstart dend diff context no sub","sub06",0.043564
"155","HIPP_MERGE_BL","same mov scon no sub","sub06",0.069006
"156","HIPP_MERGE_BL","same mov dcon no sub","sub06",0.057923
"157","HIPP_MERGE_BL","share mov scon no sub","sub06",-0.0028188
"158","HIPP_MERGE_BL","share mov dcon no sub","sub06",0.0187
"159","HIPP_MERGE_BL","no share mov scon no sub","sub06",0.062038
"160","HIPP_MERGE_BL","no share mov dcon no sub","sub06",0.048343
"161","V12_BL","sseq scon no sub","sub06",0.28881
"162","V12_BL","sseq dcon no sub","sub06",0.32809
"163","V12_BL","dseq scon no sub","sub06",0.23993
"164","V12_BL","dseq dcon no sub","sub06",0.24752
"165","V12_BL","dstart send same context no sub","sub06",0.26216
"166","V12_BL","dstart send diff context no sub","sub06",0.2625
"167","V12_BL","sstart dend same context no sub","sub06",0.23329
"168","V12_BL","sstart dend diff context no sub","sub06",0.25437
"169","V12_BL","dstart dend same context no sub","sub06",0.2355
"170","V12_BL","dstart dend diff context no sub","sub06",0.24121
"171","V12_BL","same mov scon no sub","sub06",0.28881
"172","V12_BL","same mov dcon no sub","sub06",0.26141
"173","V12_BL","share mov scon no sub","sub06",0.15625
"174","V12_BL","share mov dcon no sub","sub06",0.26462
"175","V12_BL","no share mov scon no sub","sub06",0.24556
"176","V12_BL","no share mov dcon no sub","sub06",0.25237
"177","BA4ap","sseq scon no sub","sub06",0.094274
"178","BA4ap","sseq dcon no sub","sub06",0.070724
"179","BA4ap","dseq scon no sub","sub06",0.076829
"180","BA4ap","dseq dcon no sub","sub06",0.091055
"181","BA4ap","dstart send same context no sub","sub06",0.067922
"182","BA4ap","dstart send diff context no sub","sub06",0.096969
"183","BA4ap","sstart dend same context no sub","sub06",0.10001
"184","BA4ap","sstart dend diff context no sub","sub06",0.067192
"185","BA4ap","dstart dend same context no sub","sub06",0.072543
"186","BA4ap","dstart dend diff context no sub","sub06",0.096396
"187","BA4ap","same mov scon no sub","sub06",0.094274
"188","BA4ap","same mov dcon no sub","sub06",0.11588
"189","BA4ap","share mov scon no sub","sub06",0.035153
"190","BA4ap","share mov dcon no sub","sub06",0.077794
"191","BA4ap","no share mov scon no sub","sub06",0.079592
"192","BA4ap","no share mov dcon no sub","sub06",0.087593
"193","HIPP_MERGE_BL","sseq scon no sub","sub08",0.095839
"194","HIPP_MERGE_BL","sseq dcon no sub","sub08",0.068863
"195","HIPP_MERGE_BL","dseq scon no sub","sub08",0.070115
"196","HIPP_MERGE_BL","dseq dcon no sub","sub08",0.076449
"197","HIPP_MERGE_BL","dstart send same context no sub","sub08",0.086422
"198","HIPP_MERGE_BL","dstart send diff context no sub","sub08",0.073002
"199","HIPP_MERGE_BL","sstart dend same context no sub","sub08",0.051546
"200","HIPP_MERGE_BL","sstart dend diff context no sub","sub08",0.079694
"201","HIPP_MERGE_BL","dstart dend same context no sub","sub08",0.070816
"202","HIPP_MERGE_BL","dstart dend diff context no sub","sub08",0.076483
"203","HIPP_MERGE_BL","same mov scon no sub","sub08",0.095839
"204","HIPP_MERGE_BL","same mov dcon no sub","sub08",0.072242
"205","HIPP_MERGE_BL","share mov scon no sub","sub08",0.094682
"206","HIPP_MERGE_BL","share mov dcon no sub","sub08",0.066311
"207","HIPP_MERGE_BL","no share mov scon no sub","sub08",0.068479
"208","HIPP_MERGE_BL","no share mov dcon no sub","sub08",0.076722
"209","V12_BL","sseq scon no sub","sub08",0.50024
"210","V12_BL","sseq dcon no sub","sub08",0.46458
"211","V12_BL","dseq scon no sub","sub08",0.47026
"212","V12_BL","dseq dcon no sub","sub08",0.47052
"213","V12_BL","dstart send same context no sub","sub08",0.48865
"214","V12_BL","dstart send diff context no sub","sub08",0.47648
"215","V12_BL","sstart dend same context no sub","sub08",0.47081
"216","V12_BL","sstart dend diff context no sub","sub08",0.47298
"217","V12_BL","dstart dend same context no sub","sub08",0.46483
"218","V12_BL","dstart dend diff context no sub","sub08",0.4681
"219","V12_BL","same mov scon no sub","sub08",0.50024
"220","V12_BL","same mov dcon no sub","sub08",0.45462
"221","V12_BL","share mov scon no sub","sub08",0.44149
"222","V12_BL","share mov dcon no sub","sub08",0.46682
"223","V12_BL","no share mov scon no sub","sub08",0.47221
"224","V12_BL","no share mov dcon no sub","sub08",0.47169
"225","BA4ap","sseq scon no sub","sub08",0.12763
"226","BA4ap","sseq dcon no sub","sub08",0.085384
"227","BA4ap","dseq scon no sub","sub08",0.1152
"228","BA4ap","dseq dcon no sub","sub08",0.11045
"229","BA4ap","dstart send same context no sub","sub08",0.13971
"230","BA4ap","dstart send diff context no sub","sub08",0.11493
"231","BA4ap","sstart dend same context no sub","sub08",0.10669
"232","BA4ap","sstart dend diff context no sub","sub08",0.10139
"233","BA4ap","dstart dend same context no sub","sub08",0.1106
"234","BA4ap","dstart dend diff context no sub","sub08",0.11183
"235","BA4ap","same mov scon no sub","sub08",0.12763
"236","BA4ap","same mov dcon no sub","sub08",0.11995
"237","BA4ap","share mov scon no sub","sub08",0.11022
"238","BA4ap","share mov dcon no sub","sub08",0.1462
"239","BA4ap","no share mov scon no sub","sub08",0.11553
"240","BA4ap","no share mov dcon no sub","sub08",0.10495
"241","HIPP_MERGE_BL","sseq scon no sub","sub10",0.11714
"242","HIPP_MERGE_BL","sseq dcon no sub","sub10",0.11577
"243","HIPP_MERGE_BL","dseq scon no sub","sub10",0.10935
"244","HIPP_MERGE_BL","dseq dcon no sub","sub10",0.11277
"245","HIPP_MERGE_BL","dstart send same context no sub","sub10",0.13352
"246","HIPP_MERGE_BL","dstart send diff context no sub","sub10",0.11088
"247","HIPP_MERGE_BL","sstart dend same context no sub","sub10",0.10404
"248","HIPP_MERGE_BL","sstart dend diff context no sub","sub10",0.11291
"249","HIPP_MERGE_BL","dstart dend same context no sub","sub10",0.10424
"250","HIPP_MERGE_BL","dstart dend diff context no sub","sub10",0.1133
"251","HIPP_MERGE_BL","same mov scon no sub","sub10",0.11714
"252","HIPP_MERGE_BL","same mov dcon no sub","sub10",0.11729
"253","HIPP_MERGE_BL","share mov scon no sub","sub10",0.10125
"254","HIPP_MERGE_BL","share mov dcon no sub","sub10",0.12132
"255","HIPP_MERGE_BL","no share mov scon no sub","sub10",0.10987
"256","HIPP_MERGE_BL","no share mov dcon no sub","sub10",0.11211
"257","V12_BL","sseq scon no sub","sub10",0.39488
"258","V12_BL","sseq dcon no sub","sub10",0.3962
"259","V12_BL","dseq scon no sub","sub10",0.3501
"260","V12_BL","dseq dcon no sub","sub10",0.35247
"261","V12_BL","dstart send same context no sub","sub10",0.34939
"262","V12_BL","dstart send diff context no sub","sub10",0.34024
"263","V12_BL","sstart dend same context no sub","sub10",0.37583
"264","V12_BL","sstart dend diff context no sub","sub10",0.39621
"265","V12_BL","dstart dend same context no sub","sub10",0.34306
"266","V12_BL","dstart dend diff context no sub","sub10",0.34385
"267","V12_BL","same mov scon no sub","sub10",0.39488
"268","V12_BL","same mov dcon no sub","sub10",0.34875
"269","V12_BL","share mov scon no sub","sub10",0.32522
"270","V12_BL","share mov dcon no sub","sub10",0.38954
"271","V12_BL","no share mov scon no sub","sub10",0.35171
"272","V12_BL","no share mov dcon no sub","sub10",0.35472
"273","BA4ap","sseq scon no sub","sub10",0.26527
"274","BA4ap","sseq dcon no sub","sub10",0.18299
"275","BA4ap","dseq scon no sub","sub10",0.21477
"276","BA4ap","dseq dcon no sub","sub10",0.21798
"277","BA4ap","dstart send same context no sub","sub10",0.21909
"278","BA4ap","dstart send diff context no sub","sub10",0.21375
"279","BA4ap","sstart dend same context no sub","sub10",0.25757
"280","BA4ap","sstart dend diff context no sub","sub10",0.18943
"281","BA4ap","dstart dend same context no sub","sub10",0.20158
"282","BA4ap","dstart dend diff context no sub","sub10",0.22748
"283","BA4ap","same mov scon no sub","sub10",0.26527
"284","BA4ap","same mov dcon no sub","sub10",0.2438
"285","BA4ap","share mov scon no sub","sub10",0.19157
"286","BA4ap","share mov dcon no sub","sub10",0.19758
"287","BA4ap","no share mov scon no sub","sub10",0.21627
"288","BA4ap","no share mov dcon no sub","sub10",0.21341
"289","HIPP_MERGE_BL","sseq scon no sub","sub11",0.060736
"290","HIPP_MERGE_BL","sseq dcon no sub","sub11",0.087843
"291","HIPP_MERGE_BL","dseq scon no sub","sub11",0.079585
"292","HIPP_MERGE_BL","dseq dcon no sub","sub11",0.08251
"293","HIPP_MERGE_BL","dstart send same context no sub","sub11",0.073596
"294","HIPP_MERGE_BL","dstart send diff context no sub","sub11",0.07156
"295","HIPP_MERGE_BL","sstart dend same context no sub","sub11",0.087489
"296","HIPP_MERGE_BL","sstart dend diff context no sub","sub11",0.083842
"297","HIPP_MERGE_BL","dstart dend same context no sub","sub11",0.079035
"298","HIPP_MERGE_BL","dstart dend diff context no sub","sub11",0.085343
