First_RDM_name,Second_RDM_name,sub01,sub02,sub05,sub06,sub08,sub10,sub11,sub13,sub14,sub15,sub16,sub17,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub30
BA4ap,dstart send same context no sub,0.13389,0.19735,0.12247,0.067922,0.13971,0.21909,0.35156,0.069598,0.003221,0.080776,0.077964,0.373,0.064128,0.14645,0.12732,0.0010112,0.27976,0.22297,0.091572,0.3953,0.23881,0.039398,0.066092
BA4ap,dstart send diff context no sub,0.14839,0.20691,0.1401,0.096969,0.11493,0.21375,0.31757,0.028455,0.040321,0.08816,0.087215,0.39491,0.090953,0.15051,0.15789,0.061357,0.272,0.25638,0.07524,0.36989,0.18769,0.079667,0.084869
BA4ap,sstart dend same context no sub,0.13723,0.18502,0.16313,0.10001,0.10669,0.25757,0.35208,0.046634,0.026993,0.11179,0.10547,0.41581,0.033507,0.17709,0.17966,0.027648,0.29147,0.21252,0.12132,0.40153,0.2032,0.075432,0.088905
BA4ap,sstart dend diff context no sub,0.16418,0.19682,0.10091,0.067192,0.10139,0.18943,0.32403,0.056215,0.05705,0.092207,0.06434,0.38747,0.047128,0.12355,0.10397,0.0094601,0.29251,0.23011,0.065376,0.38646,0.19069,0.039831,0.048418
BA4ap,dstart dend same context no sub,0.13507,0.1668,0.10605,0.072543,0.1106,0.20158,0.35394,0.046857,0.030085,0.095164,0.073045,0.37346,0.05413,0.13447,0.13811,0.044057,0.30332,0.22623,0.082796,0.38704,0.21003,0.041453,0.046127
BA4ap,dstart dend diff context no sub,0.14214,0.20471,0.12963,0.096396,0.11183,0.22748,0.32349,0.055583,0.037807,0.076251,0.067439,0.39909,0.06368,0.15951,0.1656,0.050473,0.29476,0.24247,0.12137,0.38331,0.19141,0.088673,0.062264
BA4ap,same mov scon no sub,0.17965,0.18736,0.17005,0.094274,0.12763,0.26527,0.35844,0.071147,0.028769,0.12706,0.090096,0.40955,0.064123,0.16484,0.22919,0.11722,0.33784,0.25924,0.12694,0.42792,0.24553,0.057498,0.025804
BA4ap,same mov dcon no sub,0.12901,0.18259,0.16575,0.11588,0.11995,0.2438,0.31096,0.064099,0.013332,0.079144,0.11319,0.42586,0.075722,0.19301,0.19493,0.021148,0.3096,0.30973,0.11706,0.41338,0.22285,0.11,0.066062
BA4ap,share mov scon no sub,0.10087,0.18158,0.10765,0.035153,0.11022,0.19157,0.34766,0.10898,0.072355,0.086975,0.06087,0.37469,0.051258,0.11684,0.17303,0.053389,0.35379,0.34773,0.14442,0.4537,0.23985,0.029207,-0.025997
BA4ap,share mov dcon no sub,0.18059,0.2545,0.024454,0.077794,0.1462,0.19758,0.33007,0.042371,-2.66E-05,0.060433,0.05058,0.40673,0.015231,0.077745,0.16228,0.05254,0.42316,0.34006,0.17351,0.43989,0.21284,0.027278,0.068364
BA4ap,no share mov scon no sub,0.13745,0.1751,0.12031,0.079592,0.11553,0.21627,0.3535,0.047269,0.021548,0.096042,0.081057,0.38141,0.052395,0.14621,0.14189,0.031727,0.29322,0.21576,0.088208,0.38731,0.21225,0.04859,0.063134
BA4ap,no share mov dcon no sub,0.14578,0.20173,0.12379,0.087593,0.10495,0.21341,0.32282,0.046813,0.04469,0.080989,0.065293,0.3944,0.066755,0.14889,0.14286,0.045313,0.2829,0.2276,0.096869,0.37763,0.18174,0.071682,0.064755
